Character	Canonical Name	Gender	Address 1	Address 2	Address 3	Politics	Marital Status	Opponent	Typical Activity	Vehicle of Choice	Weapon of Choice	Seen Wearing	Domains	Genres	Fictive Status	Portrayed By	Creator	Creation	Group Affiliation	Fictional World	Negative Talking Points	Positive Talking Points	Category	Archetypes
Sun Tzu	Sun Tzu	male		Qi	China				developing military strategies	horse-drawn chariot	Chinese gunpowder rocket		The Art of War, Ancient military history	warfare, politics, history				The Art Of War			ruthless, militaristic, hawkish	strategic, tactical, shrewd, philosophical, instructive, influential	General, Military Leader, Philosopher	
Svengali	Svengali	male				right			manipulating ingenues		hypnotic stare		the Music industry	music, singing	fictional						evil, domineering, manipulative, exploitative, cynical	persuasive, hypnotic, entrancing	Businessman, Villain	Mpb, Chs, Cce
Sylvester Stallone	Sylvester Stallone	male	Beverly Hills, Hollywood	California	USA	right		Arnold Schwarzenegger	making action movies, starring in action movies	Aston Martin DBS, Mercedes-Benz SL65, Bentley Continental GTC, Porsche Panamera	Rambo knife, Rambo crossbow		Hollywood, Acting, Action movies	movies				Rocky Balboa			inarticulate, incoherent, mumbling, numb-faced, musclebound	muscular, well-built, strong, action-oriented, athletic	Actor, Writer, Director	
John Rambo	John Rambo	male	Bowie	Arizona	USA	right	single		fighting guerilla wars, eluding authorities, rescuing prisoners of war		Bowie knife, crossbow, M60 machine gun	bare-chest bandoleer	Vietnam War	warfare, movies	fictional	Sylvester Stallone	David Morrell			First Blood	inarticulate, incoherent, mumbling, numb-faced, musclebound	muscular, well-built, strong, action-oriented, athletic, well-trained, resourceful	Soldier, Veteran, Fugitive	Mus
Tarzan	Tarzan Greystoke	male	Greystoke	Cumbria	UK		dating Lady Jane Porter		swinging from tree to tree, communicating with animals, living amongst apes	jungle vine	flint-topped spear, flint knife, bow and arrow	loin cloth	the Jungle	movies, fantasy	fictional	Johnny Weissmuller	Edgar Rice Burroughs			Tarzan of the Apes	uncultured, unsophisticated, primitive, feral, uncivilized	muscular, well-built, strong, environmentally-conscious, athletic, courageous, intelligent, loyal, steadfast, agile	Orphan, Hero, Outdoorsman	Gb
Theodore Roosevelt	Theodore Roosevelt	male	Cove Neck	New York	USA	moderate	married	William Howard Taft	campaigning for environmental causes, pushing anti-trust legislation	Stanly Steamer	hunting rifle, elephant gun		American politics, the Environment	politics,		Robin Williams					stern, aggressive, gruff, competitive	brave, romantic, manly, vigorous, ebullient, environmentally-conscious	President, Political Leader, Outdoorsman	
Thomas Edison	Thomas Edison	male	Menlo Park	New Jersey	USA	right	married	Nikola Tesla, George Westinghouse	pioneering new technologies, developing new technologies, patenting new technologies	Bailey Roadster	exploding lightbulbs, exposed electrical cable	wing collar	Physics, Electricity	science, business		Spencer Tracy		the phonograph, the incandescent light bulb	Menlo Park		domineering, monopolistic,	inventive, pioneering, business-savvy, prolific	Inventor, Businessman, Engineer	
Thomas Pynchon	Thomas Pynchon	male	Glen Cove	New York	USA				writing modern fiction				American literature, Modern literature	literature							hysterically-realistic, long-winded, reclusive, sesquipedalian	erudite, masterful, meticulous	Writer, Novelist	
Tiger Woods	Tiger Woods	male	Cypress	California	USA		divorced	Rory McIlroy	playing golf, winning golf tournaments	golf cart	no. 9 iron golf club	polo neck, golf pants	Golf	sport							promiscuous, unfaithful, philandering	athletic, masterful, field-topping, world-beating, highly-paid, long-driving	Golf Player, Sportsman, Athlete, Lothario	
Tina Turner	Tina Turner	female	Nutbush	Tennessee	USA		divorced from Ike Turner	Ike Turner	singing rock songs, writing rock songs, gyrating hips	Lamborghini LM 002	sharpened stiletto heel, pepper spray	big hair, tiny dress, stilettos	Pop music	music, singing		Angela Bassett					loud, raspy	energetic, strong-voiced, vocally-powerful, passionate, feisty, resilient, tuneful, full-throated	Pop Singer, Singer, Musician	
Tom Cruise	Tom Cruise	male	Syracuse	New York	USA		divorced from Katy Holmes, Divorced from Nicole Kidman	Val Kilmer	starring in Hollywood movies, promoting Scientology, jumping on couches	P-51 Mustang fighter, Chevy Chevelle SS	Scientology mind-tricks, Mission: Impossible props	platform shoes	Hollywood, Acting, Scientology	movies					Scientology		nutty, brainwashed, over-zealous, raving, litigious	handsome, charming, successful, entertaining, high-grossing	Actor, Campaigner	
Tom Hanks	Tom Hanks	male	Concord	California	USA	left	married		starring in Hollywood movies, playing everyman characters	Tesla Roadster	everyman charm	everyman clothes	Hollywood, Acting, Serious Acting	movies							bland, meretricious	versatile, convincing, affable, entertaining, amiable, congenial, high-grossing, award-winning	Actor, Campaigner	
Tom Jones	Tom Jones	male	Treforest	Pontypridd	Wales				singing pop songs, recording pop songs, crooning love songs		booming Welsh voice	velvet suit	Pop music	music, singing							unfaithful, philandering, promiscuous,	tuneful, melodic, full-throated, energetic, sexually-charged, entertaining	Singer, Musician	
Tom Sawyer	Tom Sawyer	male	Saint Petersburg	Missouri	USA		single		playing pranks, solving mysteries		catapult, hunting rifle	dungarees	American literature, the American South	literature	fictional	Johnny Whitaker	Mark Twain			The Adventures of Tom Sawyer	immature, childish, juvenile	mischievous, playful, imaginative, loyal	Child, Hero	Kh
Tom Waits	Tom Waits	male	Pomona	California	USA	left			singing blues songs, writing blues songs		gravel-spitting voice		Jazz, Blues music,	music, singing				Blue Valentines, Hang Down Your Head, Martha	The Goddamn Liars		raspy, growling, gravel-voiced	experimental, versatile, distinctively-voiced, atmospheric	Singer, Musician, Composer	
Tony Blair	Tony Blair	male		Edinburgh	Scotland, UK	moderate	married to Cherie Blair	Gordon Brown	promoting liberal values, cozying up to conservatives		oil-slick charm	red tie	British politics, the British Left, the Labour Party	politics,		Michael Sheen			The Labour Party		smarmy, dishonest, manipulative, ingratiating	accomplished, articulate, persuasive, eloquent,	Political Leader, Prime Minister	
Huckleberry Finn	Huckleberry Finn	male	Saint Petersburg	Missouri	USA				growing up poor	home-made raft	catapult, hunting rifle	ragged dungarees	American literature, the American South	literature	fictional	Elijah Wood	Mark Twain			The Adventures of Tom Sawyer, The Adventures of Huckleberry Finn	ragged, uneducated, illiterate, lawless, unwashed, underfed	carefree, loyal, decent, independent,	Vagabond, Hero, Wanderer	Tsu, kz
Tony Robbins	Tony Robbins	male	Los Angeles	California	USA		married		selling self-help books, giving self-help lectures,		power of positive thinking	sharp suit	Neuro-Linguistic Programming, Self-Help, Self-Improvement	philosophy, business				The Anthony Robbins Foundation			shallow, manipulative, pseudoscientific, snake-oil-selling	philosophical, insightful, meditative, inspiring, motivational, optimistic, positive-thinking, persuasive	Philosopher, Guru	
Tony Soprano	Tony Soprano	male	North Caldwell	New Jersey	USA	right	married to Carmela Soprano	Phil Leotardo	running a crime family, running an empire	Chevy Suburban	staple gun, Mafia garrote	bowling shirt	the New Jersey Mob, New Jersey, the Mafia	crime, television	fictional	James Gandolfini	David Chase	The Soprano's Crime Family	The Soprano's Crime Family	The Sopranos	violent, brutal, insecure, neurotic, anti-heroic, ruthless, unfaithful, Machiavellian, intimidating	charming, resourceful, sly, strong,	Crimeboss, Father	Av, Cce
Tony Stark	Tony Stark	male	Malibu	California	USA	libertarian	dating Pepper Potts	Justin Hammer, Obadiah Stane	running a multinational corporation, running a hardware company, running a software company, pioneering new technologies, developing new technologies	Tesla Roadster	repulsor rays	sharp suit, suit of armor	Marvel Comics, Technology	comics	fictional	Robert Downey Jr.	Stan Lee	Stark Industries, The Avengers, Iron Man	Stark Industries, The Avengers	Iron Man, Marvel Comics	alcoholic, cocky, arrogant, smug, self-destructive, narcissistic	visionary, pioneering, inspiring, inspirational, artistic, artful, brilliant, creative, innovative, larger-than-life, compelling, charming	Billionaire, Hero, CEO, Playboy, Inventor, Engineer	Bbw
Tomás de Torquemada	Tomás de-Torquemada	male		Valladolid	USA	right	single		extracting confessions, promoting conservative values, promoting Catholic values	sedan chair	red-hot poker, iron maiden, thumb screws	cowl	Catholicism, the Inquisition	religion, politics		Marlon Brando		The Spanish Inquisition	The Spanish Inquisition		cruel, ruthless, sanctimonious, puritanical, fundamentalist	devout, zealous, passionate, religious, inquisitive	Religious Leader, Tyrant	Mpb, Kt
Leon Trotsky	Leon Trotsky	male		Kirovohrad	Ukraine	left	married	Joseph Stalin	spreading revolution, promoting communism	armored train	ice pick	weird glasses, epaulets	the Russian revolution	politics, history		Geoffrey Rush		The Red Army	The U.S.S.R., The Communist Party		reclusive, exiled, ideological	philosophical, visionary, revolutionary	Political Leader, Exile, Recluse	
Tony Montana	Tony Montana	male	Miami	Florida	USA	right	single		running a crime family, running an empire	Porsche 928	chainsaw	Cuban shirt	the Miami crime world	crime, movies	fictional	Al Pacino	Oliver Stone			Scarface	violent, brutal, vengeful, sweaty, nasty	ambitious, loyal, strategic, tactical, shrewd, cunning	Criminal, Thug, Crimeboss, Exile	Av, Kt, Cce
Victor Meldrew	Victor Meldrew	male			UK	right	married		complaining about everything	Honda Ballade	complaining voice	flat cap	Modern Britain	culture, television	fictional	Richard Wilson	David Renwick			One Foot in the Grave	grouchy, ill-tempered, reactionary, argumentative, whiny, easily-shocked, hypochondriac, crotchety, misanthropic, curmudgeonly, overly-sensitive, bitter, unlucky	rational, observant, expressive, tenacious	Complainer, Curmudgeon, Old Man	
Vincent Van Gogh	Vincent Van-Gogh	male	Auvers-sur-Oise	Paris	France		single	Paul Gauguin	painting colorful pictures, going slowly mad	horse-drawn carriage	ear-lopping razor	artist's smock	Modern art, Post-Impressionism	art		Kirk Douglas		The Starry Night, Irises, Wheatfield with Crows			ear-lopping, manic-depressive, unstable, moody	artistic, skilled, virtuosic, artful, colorful, talented, expressive	Artist, Painter	
Virginia Woolf	Virginia Woolf	female	Bloomsbury	London	UK		married	Katherine Mansfield	writing modern fiction	1927 Singer Senior	Mrs. Dalloway's rock cakes		Modern literature, British literature	literature		Nicole Kidman			The Bloomsbury Set		depressive, suicidal, bipolar, mentally-troubled	literary, eloquent, intelligent, erudite, intellectual, lyrical	Writer, Novelist	
Vladimir Lenin	Vladimir Lenin	male	Gorki Leninskiye	Moscow Oblast	Russia	left	married	Aleksandr Kerensky	promoting communism, fighting for worker's rights, arguing against capitalism	armored Rolls Royce	hammer and sickle	peaked cap	the Russian revolution	politics, history		Michael Ironside		Marxist Leninism	The U.S.S.R., The Communist Party		autocratic, ruthless, egotistical	philosophical, visionary, revolutionary	Political Leader, Communist, Revolutionary	Mpb
Vladimir Putin	Vladimir Putin	male	Saint Petersburg		Russia	right	divorced	Garry Kasparov, Mikhail Khodorkovsky	running an empire, bullying neighboring countries	GAZelle Limousine	Polonium-210	sable hat	Modern Russia	politics, culture					United Russia		despotic, dictatorial, controlling, domineering, undemocratic, vain, totalitarian , manipulative	resolute, shrewd, iron-willed, decisive,	Political Leader, President	Mpb
Voltaire	Voltaire	male		Paris	France	left			promoting liberal values, writing novels, promoting enlightenment	horse-drawn carriage	cutting wit	powdered wig	the Enlightenment,	politics, philosophy, literature				Candide			elitist, dismissive, antisemitic	literary, eloquent, intelligent, erudite, philosophical, witty, enlightened	Writer, Novelist, Philosopher, Humorist	
Carl Von Clausewitz	Carl Von-Clausewitz	male		Magdeburg	Germany				developing military strategies	horse-drawn carriage	Real Politik	epaulets	Modern military history	warfare, politics				On War	Prussian Military Academy		militaristic	strategic, tactical, shrewd, philosophical, instructive, influential, insightful, realistic, enlightened, rational	Writer, Military Leader, Philosopher	
Walt Disney	Walt Disney	male	Burbank	California	USA	right	married		running a media empire, directing animated films, making cartoons, running theme parks	Ford Edsel, cartoon jalopy	spring-action mousetrap	business suit and slippers	Hollywood, Animation	cartoons, movies, business		Tom Hanks		Mickey Mouse, Walt Disney World	Disney Corporation		controlling, domineering,	avuncular, visionary, pioneering, inspiring, entertaining artistic, artful, brilliant, creative, larger-than-life, compelling, shrewd, media-savvy,	Writer, Director, CEO, Businessman	
Walt Whitman	Walt Whitman	male	West Hills	New York	USA	left	single		writing modern poetry	Stanly Steamer	soul-stirring poetry	long white beard	American poetry	poetry		Garrison Keillor		Leaves of Grass				poetic, lyrical, sensual, romantic, seductive, erudite	Poet	
Walter White	Walter White	male	Albuquerque	New Mexico	USA	libertarian	married to Skyler White	Gale Boetticher, Gustavo Fring, Hank Schrader	cooking chrystal meth, running a criminal empire	Pontiac Aztek	ricin poison,	hazmat suit	Chrystal Meth, Chemistry, Cooking	cooking, television, crime ,business	fictional	Bryan Cranston	Vince Gilligan	Blue Meth	Vamonos Pest	Breaking Bad	ruthless, unscrupulous, cynical, Machiavellian, hypocritical, deceitful, deceptive, two-faced, amoral, power-hungry	scientific, clever, intelligent, capable, shrewd, rational, logical,	Teacher, Crimeboss, Father, Husband, Scientist	Bad, Chs, Av, Cce
Warren Buffett	Warren Buffett	male	Omaha	Nebraska	USA	right	married		running a business empire, giving investment advice, investing money	Cadillac CTS	hostile takeover	boring business suit	Big business, Modern finance	business				Berkshire Hathaway	Berkshire Hathaway		hard-nosed	rich, successful, entrepreneurial, accomplished, modest, business-savvy, philanthropic, shrewd	Investor, Billionaire, Businessman	
Wayne Gretzky	Wayne Gretzky	male	Brantford	Ontario	Canada		married		playing ice hockey	Ford GT Heritage Gulf	Titanium hockey stick	hockey jersey	Ice Hockey	sport					Edmonton Oilers, New York Rangers			graceful, nimble, athletic, high-scoring, field-topping, influential, unrivalled, balletic, high-scoring	Ice Hockey Player, Sportsman, Athlete	
Wayne Rooney	Wayne Rooney	male	Croxteth	Liverpool	UK		married to Colleen Rooney	Luis Suarez	playing soccer	Ford Focus Electric	crunching tackle	soccer jersey	Soccer, English soccer	sport					Manchester United		ugly, Shrek-faced, unclassy,	skillful, speedy, agile, high-scoring, fast-paced	Soccer player, Athlete, Footballer	
Weird Al Yankovic	Al Yankovic	male		Hawaii	USA				singing parody songs, parodying songs		derisive parody	Hawaiian shirt	Musical Comedy, Parody,	comedy, music, singing				Like a Surgeon			goofy, hammy, unoriginal, derivative	entertaining, comical, witty	Singer, Musician, Comedian, Humorist	
Will Smith	Will Smith	male	Philadelphia	Pennsylvania	USA	moderate	married to Jada Pinkett Smith		starring in Hollywood movies,	Maybach 57s, Lincoln Navigator, Ford Taurus	Noisy Cricket	black MIB suit	Hollywood, Acting	movies							po-faced,	compelling, handsome, entertaining, versatile	Actor, Rapper	
William Randolph Hearst	William-Randolph Hearst	male	San Simeon	California	USA	right	married	Orson Welles	running a media empire, publishing newspapers, telling politicians what to do,	Rosebud sled	power of the press	three-piece suit, starched collar	the Newspaper industry	business, politics		Orson Welles		San Simeon, The Hearst Corporation			greedy, manipulative, Machiavellian, cynical, deceptive, deceitful, exploitative, vindictive, unscrupulous, controlling	wealthy, rich, powerful, influential, media-savvy, well-connected	Businessman, CEO, Newspaper Magnate, Media Tycoon, Billionaire	
William Shakespeare	William Shakespeare	male	The Globe Theatre	London	UK		married to Anne Hathaway	Ben Jonson, Christopher Marlowe	writing plays, writing sonnets	horse-drawn carriage	poniard, halberd, falchion	doublet	English literature, Elizabethan theatre	literature, theatre		Joseph Fiennes		Romeo and Juliet, King Lear, Hamlet, The Merchant of Venice			derivative, unoriginal, bawdy	literary, eloquent, intelligent, erudite, hugely-quotable, poetic, masterful, insightful	Writer, Poet, Playwright	
William Shatner	William Shatner	male	Montreal Island	Quebec	Canada		married	George Takei	starring in science fiction movies, starring in TV shows, constructing an ironic public image	U.S.S. Enterprise NCC-1701	phaser, photon torpedo	Starfleet uniform, platform shoes, male corset	Star Trek, TJ Hooker, Priceline	movies, television,							corny, hammy, cheesy, self-regarding, conceited	ironic, self-mocking, entertaining, larger-than-life	Actor	
Willy Wonka	Willy Wonka	male	Nördlingen	Bavaria	Germany		single	Arthur Slugworth	running a business empire, making chocolate, selling confectionary, inventing new confectionary, pioneering new technologies	Chocolate Wonka Ship	Oompa Loompa goon squad, exploding gum drops,	top hat, floral vest, giant bow tie, tail coat	the Confectionary business, the Chocolate industry	cooking, business	fictional	Gene Wilder, Johnny Depp	Roald Dahl	Hair Toffee, Whipple-Scrumptious Fudge Mallow Delight, Wonkavision, The Everylasting Gobstopper		Charlie and the Chocolate Factory	reclusive, nutty, lonely, isolated, paranoid	inventive, creative, enigmatic, sweet, business-savvy	Confectioner, Recluse	
Winston Churchill	Winston Churchill	male	Blenheim Palace	Woodstock	UK	right	married	Neville Chamberlain, Clement Attlee	fighting against totalitarianism, fighting for democracy, promoting democracy, coining sparkling witticisms	1939 Daimler DB18 Drophead Coupé	acid wit	Homburg, bow tie, siren suit	World War II, British history, British politics, the British Right the Conservative Party	politics, history, warfare		Brendan Gleeson, Rod Taylor			The Conservative Party		egotistical, fat, jowly, alcoholic,	eloquent, erudite, inspiring, inspirational, motivational, prescient,	Political Leader, Prime Minister, Writer	
Wolfgang Amadeus Mozart	Wolfgang Mozart, Amadeus Mozart	male		Salzburg	Austria		married to Constance Mozart	Antonio Salieri	composing classical music, playing the piano	horse-drawn carriage	piano-wire garrote, magic flute	powdered wig	Classical music	music		Tom Hulce		Don Giovanni, Eine Kleine Nachtmusik, The Golden Flute	The Viennese Court	Amadeus	juvenile, prurient, childish, potty-mouthed	virtuosic, inspirational, inspiring, talented, nimble-fingered, accomplished, technically-brilliant, melodic, brilliant, tuneful	Musician, Composer, Pianist	
Kenny G	Kenny Gorelick	male	Seattle	Washington State	USA			Yanni	playing the saxophone,	Audi A8	saxophone blow-pipe		Easy Listening, Light Jazz, Saxophone music	music				E-Series II Soprano Saxophone			lacking-in-credibility, overly-sentimental, cheesy, uninspiring,	technically-talented, technically-brilliant, virtuosic, talented, melodic, tuneful	Musician, Composer, Saxophonist	
Woody Allen	Woody Allen	male	Manhattan	New York City	USA	left	married to Soon-Yi Previn	Mia Farrow	directing Hollywood movies, writing Hollywood movies, starring in Hollywood movies, directing comedies, starring in comedies, worrying about health, playing the clarinet	New York taxicab	neurotic babbling	thick-framed spectacles, floppy hat, khaki trousers, over-sized shirt	New York City, Hollywood, Acting, Comedy	comedy, movies				Annie Hall, Bananas, Midnight in Paris			neurotic, paranoid, insecure, wrinkly, short	witty, sardonic, literary, insightful, observant, urbane	Writer, Director, Actor, Comedian, Humorist	
Woody Guthrie	Woody Guthrie	male	Okemah	Oklahoma	USA	left			campaigning for environmental causes, campaigning for social causes, singing protest songs	old pickup truck	fascist-killing guitar, guitar-string garrote	ragged dungarees	Folk music	music, singing		David Carradine		This Land Is Your Land			scruffy, dishevelled, mendicant,	socially-conscious, consciousness-raising, environmentally-conscious, melodic, tuneful,	Singer, Musician, Campaigner, Folk Singer	
Wyatt Earp	Wyatt Earp	male	Tombstone	Arizona	USA	right	married	Ike Clanton	arresting criminals, running a frontier town, preventing crime, punishing crime	horse, Wells Fargo stagecoach	six-shooter	cowboy hat, string tie, cowboy boots	The Old West, Westerns	history, crime		Kevin Costner, Kurt Russell				Gunfight at O.K. Corral, Tombstone	vengeful, self-invented, self-promoting,	fearless, tough, heroic	Lawman, Sheriff	
Yogi Berra	Yogi Berra	male	St. Louis	Missouri	USA				playing baseball, mangling idioms	Chevrolet Corvair	mangled idioms, baseball bat	baseball tunic	Baseball	sport					The New York Yankees		linguistically-challenged, idiom-mangling, tongue-tied	witty, entertaining, hugely-quotable, affable,	Baseball Player	
Zsa Zsa Gabor	Zsa-Zsa Gabor	female	Beverly Hills, Hollywood	California	USA		divorced		divorcing husbands, collecting alimony	190 SL Mercedes	feather boa garrote	sequined ball gown, feather boa	Hollywood, Fashion	business							surgically-altered, money-grabbing, shallow, famous-for-being-famous, vapid	shrewd, media-savvy, glamorous	Actress, Divorcee	
Pinocchio	Pinocchio	male	Collodi	Tuscany	Italy		single		lying badly, playing poker badly, wanting to be a real person		sharpened wooden nose	red shorts, feathered cap	Children's tales	fantasy	fictional	Roberto Benigni	Carlo Collodi				bad-at-poker, unable-to-bluff, wooden, stiff, naughty, disobedient	lively, mischievous, playful, energetic	Puppet	
Yoda	Yoda	male			Dagobah	left	single	Emperor Palpatine, Count Dooku	fighting for the resistance, promoting mysticism, duelling acrobatically, teaching the next generation	Jedi Starfighter	Jedi lightsaber, Jedi mind tricks	brown robe, Padawan braids, hooded cloak	Star Wars	science fiction	fictional	Frank Oz	George Lucas		The Jedi Religion	The Empire Strikes Back, Return of the Jedi	linguistically-challenged, short, stern, inscrutable, cryptic	wise, spiritual, instructive, philosophical, powerful, benevolent, inspiring, inspirational	Guru, Teacher, Philosopher, Jedi Knight	
Saul Goodman	Saul Goodman	male	Albuquerque	New Mexico	USA	libertarian	single		protecting criminals, representing criminals, bending the law, offering legal advice	Cadillac DeVille	unethical legal trickery	bad suit	Breaking Bad	crime, television	fictional	Bob Odenkirk	Vince Gilligan			Breaking Bad	cynical, manipulative, unscrupulous, amoral, materialistic, unethical	witty, entertaining, hugely-quotable, affable, frank, resourceful, shrewd, quick-witted	Lawyer, Shyster	
Stanley Kowalski	Stanley Kowalski	male	New Orleans	Louisiana	USA	right	married to Stella Kowalski	Blanche DuBois	moaning about women,	Streetcar Named Desire	broken bottle	sweat-stained T-shirt, wife-beater shirt	A Street Car Named Desire	theatre, literature	fictional	Marlon Brando	Tennessee Williams			A Streetcar Named Desire	abusive, uncouth, unsophisticated, bitter	hard-working, passionate	Husband	
Blanche DuBois	Blanche DuBois	female	New Orleans	Louisiana	USA		single	Stanley Kowalski	moaning about men	Streetcar Named Desire	overpowering perfume, "comfort" of strangers	white satin evening gown	A Street Car Named Desire	theatre, literature	fictional	Vivien Leigh	Tennessee Williams		Beau Rivage	A Streetcar Named Desire	delusional, emotionally-fragile, unhinged, snooty, condescending, pretentious	dainty, classy, graceful, elegant, well-mannered	Damsel	
Ron Burgundy	Ron Burgundy	male	San Diego	California	USA	right	married	Jack Lime	reading the news, preening in front of the mirror, maintaining salon-quality hair	Burgundy Dodge Durango	hair-spray flamethrower	burgundy suit	Anchorman, the News	movies, comedy	fictional	Will Ferrell	Will Ferrell, Adam McKay		Channel 6	Anchorman	narcissistic, self-regarding, pretentious, hair-obsessed, vain, swaggering, arrogant	well-dressed, sartorial, confident	News Reader, Anchorman, Narcissist	
Rain Man	Raymind Babbitt	male	Cincinnati	Ohio	USA		single		counting tooth picks, counting cards		barrage of toothpicks	K-Mart clothes	Autism	culture, movies	fictional	Dustin Hoffman	Barry Morrow			Rain Man	socially-unintelligent, socially-unaware, socially-awkward,rigid, inflexible, stubborn	mathematically-brilliant, sympathetic, good-hearted,	Savant, Invalid	
Inspector Gadget		male	Montreal	Quebec	Canada		single	Dr. Claw	solving mysteries,using gadgets	1982 Toyota Supra	multifarious gadgets	trench coat, Fedora	Detective fiction	cartoons, television	fictional	Matthew Broderick	Andy Heyward			Inspector Gadget	mechanical, clumsy, dim-witted, incompetent	adaptive, resourceful, persistent	Detective, Cyborg	
Professor Hans Zarkov	Hans Zarkov	male			Mongo		single	Ming the Merciless	building rocket ships	home-made rocket ship	home-made death ray	white lab coat	Flash Gordon	science fiction	fictional	Chaim Topol	Alex Raymond	the atomic light-soldifier		The Adventures of Flash Gordon	nutty, wild-eyed, absent-minded, obsessed	scientific, clever, intelligent	Scientist	
H.A.L. 9000	H.A.L.	male			Jupiter		single	Dave Bowman	murdering astronauts	Discovery I spaceship	home-made ray gun	red camera lens	2001: A Space Odyssey, Homicidal computers	science fiction	fictional	Douglas Rain	Arthur C. Clarke, Stanley Kubrick			2001: A Space Odyssey	murderous, homicidal, controlling, paranoid,	intelligent, smart, strategic, decisive, polite, well-mannered, capable	Computer, AI Program Villain, Software Agent	Chs
Walter Mitty	Walter Mitty	male	Cincinnati	Ohio	USA		married		dreaming the day away, escaping from reality	station wagon	delusions of adequacy	boring business suit	Escapism	fantasy	fictional	Ben Stiller, Danny Kaye	James Thurber			The Secret Life of Walter Mitty	unfulfilled, ungrounded, hen-pecked, easily-distracted, inadequate, frustrated, dissatisfied, quietly-desperate, unfocused, ineffectual, hapless, inept	imaginative, meek, dream-filled	Dreamer	
Xena	Xena	female		Athens	Greece	libertarian	dating Gabrielle		fighting for justice, defending the weak	horse	chakram discus	gladiator skirt, leather armor	Ancient Greece	television, fantasy	fictional	Lucy Lawless	Robert Tapert, John Schulian			Xena: Warrior Princess	unfeminine , sexually-ambivalent, violent, brutal	strong, tough, heroic, beautiful, capable, agile, formidable	Warrior, Princess	
Inspector Clouseau	Jacques Clouseau	male	11th arrondissement	Paris	France		single	Commissioner Charles Dreyfus	solving mysteries, solving crimes, finding clues, interpreting evidence	1954 Citroën 2CV	flying Karate kick	trench coat, tweed Trilby	the Gendarmerie	law, movies, comedy	fictional	Peter Sellers	Blake Edwards		Paris Gendarmerie	The Pink Panther	inept, incompetent, klutzy, egotistical, clumsy, bungling, self-regarding, bumbling	lucky, enthusiastic, unpredictable	Detective, Policeman, French Buffoon	
Joey Tribbiani	Joey Tribbiani	male	Manhattan	New York City	USA		single		seducing women, acting off-off-Broadway, starring in daytime soap operas	New York taxicab	meatball catapult		Friends	television, comedy	fictional	Matt LeBlanc	David Crane, Marta Kauffman	meat helmet		Friends	promiscuous, dim-witted, mathematically-challenged, simple-minded	loyal, protective, good-natured, self-confident, easy-going	Friend, Actor	
Chandler Bing	Chandler Bing	male	Manhattan	New York City	USA		married to Monica Gellar		making sarcastic remarks	New York taxicab	scone launcher		Friends	television, comedy	fictional	Matthew Perry	David Crane, Marta Kauffman			Friends	sarcastic, insecure, pessimistic, cynical, socially-awkward	non-confrontational, funny	Friend, Software Engineer	
Monica Geller	Monica Geller	female	Manhattan	New York City	USA		married to Chandler Bing		arranging dinner parties, cooking for friends, fussing about cleanliness	New York taxicab	kitchen cleaver		Friends	television, comedy	fictional	Courteney Cox	David Crane, Marta Kauffman	luncheon meat foreskin		Friends	bossy, overly-neat, overly-competitive, obsessively-neat, controlling,	affectionate, kind-hearted outgoing, socially-intelligent	Friend, Chef	
Ross Geller	Ross Geller	male	Manhattan	New York City	USA		dating Rachel Green		studying paleontology, studying dinosaurs	New York taxicab	dinosaur tooth		Friends	television, comedy	fictional	David Schwimmer	David Crane, Marta Kauffman			Friends	arrogant, smug, cheap	kind-hearted, intelligent, highly-educated	Friend, Paleontologist	
Rachel Green	Rachel Green	female	Manhattan	New York City	USA		dating Ross Gellar		getting a nose job	New York taxicab	twisted coat hanger		Friends	television, comedy	fictional	Jennifer Aniston	David Crane, Marta Kauffman			Friends	self-absorbed, conceited, vain,	kind-hearted, determined, ambitious	Friend	
Phoebe Buffay	Phoebe Buffay	female	Manhattan	New York City	USA		single		singing parody songs, singing goofy songs	New York taxicab	smelly cat litter		Friends	television, comedy	fictional	Lisa Kudrow	David Crane, Marta Kauffman			Friends	naïve, brutally-straightforward, tacless, silly	innocent, frank, kind-hearted, caring, carefree	Friend, Guitarist	
Liz Lemon	Liz Lemon	female	Rockerfeller Center	New York City	USA	left	single		writing comedy, writing TV comedies	New York taxicab	lemon juice squirter		30 Rock, Television Production	television, comedy	fictional	Tina Fey	Tina Fey		NBC	30 Rock	geeky, nerdy, uncouth, slobby,	fair-minded, funny, witty, hard-working	Writer, Humorist	
Jack Donaghy	Jack Donaghy	male	Rockerfeller Center	New York City	USA	right	married	Devon Banks	running a business empire,	Cadillac El Dorado	G.E. microwave death ray	sharp suit	30 Rock, Television Production	television, comedy	fictional	Alec Baldwin	Tina Fey	The Trivection oven	NBC, General Electric	30 Rock	ultraconservative, overly-formal, materialistic	business-savvy, bold, assertive, self-assured	Executive, Businessman	
Tracy Jordan	Tracy Jordan	male	Rockerfeller Center	New York City	USA		married	Jenna Maroney	starring in comedies, starring in Hollywood movies, starring in comedies	yellow Bentley	Who Dat Ninja shuriken star	hipbop outfit	30 Rock, Television Production	television, comedy	fictional	Tracy Morgan	Tina Fey	Tracy Jordan Meat Machine, the breadless sandwich	NBC	30 Rock	immature, dim-witted, self-centered, gullible, superstitious, attention-seeking	whimsical, easy-going, humorous	Comedian, Actor	
